Ns,Ms,Ds,Times,EMDs
50,50,2,0.037999963760375975,26.265826605904515
50,60,2,0.05840001106262207,20.13233377801843
50,70,2,0.06139988899230957,25.460688764344404
50,90,2,0.06459994316101074,27.89185256600849
50,110,2,0.051999902725219725,33.98478383444157
60,60,2,0.06699995994567871,28.455538005842072
60,70,2,0.11059999465942383,24.225580909009835
60,90,2,0.1318000316619873,22.111561585194746
60,110,2,0.09959998130798339,26.651074830952734
70,70,2,0.10380001068115234,24.30490105611793
70,90,2,0.1175999641418457,22.568370999087914
70,110,2,0.15239992141723632,26.02801228016225
90,90,2,0.28440003395080565,22.939324031929026
90,110,2,0.3879999160766602,23.593410854620615
110,110,2,0.46560001373291016,22.046987014197313
50,130,2,0.1,30.91184790523725
50,150,2,0.06959996223449708,29.86584826011972
50,170,2,0.07759995460510254,42.050299161727075
50,190,2,0.08780012130737305,39.951200334702655
60,130,2,0.1179999828338623,32.14282624748736
60,150,2,0.09759993553161621,27.765601849665863
60,170,2,0.11879997253417969,27.047971660419584
60,190,2,0.1559999942779541,33.54927731982911
70,130,2,0.16659998893737793,27.4105348026034
70,150,2,0.21979994773864747,28.69527720564775
70,170,2,0.1822000503540039,27.462835615832482
70,190,2,0.21020002365112306,33.72615363545419
90,130,2,0.26779999732971194,24.611575364932733
90,150,2,0.47280001640319824,27.118971457342674
90,170,2,0.4289999961853027,25.781950165503382
